ID,LOCALITY,ZIPCODE,CITY
568,NARAINA VIHAR,501169,NEW DELHI
569,NARAYANA INDUSTRIAL AREA PHASE 2,501171,NEW DELHI
570,NARELA,501173,NEW DELHI
571,NARELA INDUSTRIAL AREA,501175,NEW DELHI
572,NATHUPUR,501177,NEW DELHI
573,NAV YUG MARKET,501179,NEW DELHI
574,NAVEEN SHAHDARA,501181,NEW DELHI
575,NAYA BAZAAR,501183,NEW DELHI
576,NAYA BAZAR,501185,NEW DELHI
577,NEB SARAI,501187,NEW DELHI
578,NEHRU ENCLAVE,501189,NEW DELHI
579,NEHRU PLACE,501191,NEW DELHI
580,NEHRU VIHAR,501193,NEW DELHI
581,NETAJI NAGAR,501195,NEW DELHI
582,NETAJI SUBHASH PLACE,501197,NEW DELHI
583,NEW ARYA NAGAR,501199,NEW DELHI
584,NEW ASHOK NAGAR,501201,NEW DELHI
585,NEW COLONY,501203,NEW DELHI
586,NEW FRIENDS COLONY,501205,NEW DELHI
587,NEW INDUSTRIAL TOWN SHIP,501207,NEW DELHI
588,NEW INDUSTRIAL TOWN SHIP 1,501209,NEW DELHI
589,NEW KONDLI,501211,NEW DELHI
590,NEW LAJPAT RAI MARKET,501213,NEW DELHI
591,NEW MODI NAGAR,501215,NEW DELHI
592,NEW MOTI NAGAR,501217,NEW DELHI
593,NEW RAILWAY ROAD,501219,NEW DELHI
594,NEW RAJDHANI ENCLAVE,501221,NEW DELHI
595,NEW RAJENDRA NAGAR,501223,NEW DELHI
596,NEW ROHTAK ROAD,501225,NEW DELHI
597,NEW SEEMAPURI,501227,NEW DELHI
598,NEW SILAMPUR,501229,NEW DELHI
599,NIRMAN VIHAR,501231,NEW DELHI
600,NIT,501233,NEW DELHI
601,NIT FARIDABAD,501235,NEW DELHI
602,NIT NO.1,501237,NEW DELHI
603,NIT NO.3,501239,NEW DELHI
604,NITI BAGH,501241,NEW DELHI
605,NIZAMUDDIN,501243,NEW DELHI
606,NIZAMUDDIN EAST,501245,NEW DELHI
607,NIZAMUDDIN WEST,501247,NEW DELHI
608,NOIDA-SECTOR 38,501249,NEW DELHI
609,NOIDA-SECTOR 38A,501251,NEW DELHI
610,NOIDA INSTITUTIONAL AREA,501253,NEW DELHI
611,NOIDA LINK ROAD,501255,NEW DELHI
612,NOIDA PHASE 2,501257,NEW DELHI
613,NOIDA SECTOR 1,501259,NEW DELHI
614,NOIDA SECTOR 10,501261,NEW DELHI
615,NOIDA SECTOR 11,501263,NEW DELHI
616,NOIDA SECTOR 12,501265,NEW DELHI
617,NOIDA SECTOR 15,501267,NEW DELHI
618,NOIDA SECTOR 16,501269,NEW DELHI
619,NOIDA SECTOR 18,501271,NEW DELHI
620,NOIDA SECTOR 19,501273,NEW DELHI
621,NOIDA SECTOR 2,501275,NEW DELHI
622,NOIDA SECTOR 22,501277,NEW DELHI
623,NOIDA SECTOR 26,501279,NEW DELHI
624,NOIDA SECTOR 27,501281,NEW DELHI
625,NOIDA SECTOR 29,501283,NEW DELHI
626,NOIDA SECTOR 31,501285,NEW DELHI
627,NOIDA SECTOR 37,501287,NEW DELHI
628,NOIDA SECTOR 38A,501289,NEW DELHI
629,NOIDA SECTOR 41,501291,NEW DELHI
630,NOIDA SECTOR 44,501293,NEW DELHI
631,NOIDA SECTOR 49,501295,NEW DELHI
632,NOIDA SECTOR 5,501297,NEW DELHI
633,NOIDA SECTOR 50,501299,NEW DELHI
634,NOIDA SECTOR 51,501301,NEW DELHI
635,NOIDA SECTOR 53,501303,NEW DELHI
636,NOIDA SECTOR 57,501305,NEW DELHI
637,NOIDA SECTOR 6,501307,NEW DELHI
638,NOIDA SECTOR 61,501309,NEW DELHI
639,NOIDA SECTOR 62,501311,NEW DELHI
640,NOIDA SECTOR 63,501313,NEW DELHI
641,NOIDA SECTOR 9,501315,NEW DELHI
642,OKHLA,501317,NEW DELHI
643,OKHLA INDUSTRAIL AREA,501319,NEW DELHI
644,OKHLA INDUSTRIAL AREA,501321,NEW DELHI
645,OKHLA INDUSTRIAL AREA PH 1,501323,NEW DELHI
646,OKHLA INDUSTRIAL AREA PH 2,501325,NEW DELHI
647,OKHLA INDUSTRIAL AREA PH 3,501327,NEW DELHI
648,OKHLA INDUSTRIAL AREA PHASE 1,501329,NEW DELHI
649,OKHLA INDUSTRIAL AREA PHASE 2,501331,NEW DELHI
650,OKHLA INDUSTRIAL AREA PHASE 3,501333,NEW DELHI
651,OKHLA INDUSTRIAL ESTATE,501335,NEW DELHI
652,OLD DLF COLONY,501337,NEW DELHI
653,OLD FARIDABAD,501339,NEW DELHI
654,OLD LAJPAT RAI MARKET,501341,NEW DELHI
655,OLD RAILWAY ROAD,501343,NEW DELHI
656,OLD RAJENDER NAGAR,501345,NEW DELHI
657,OLD RAJENDRA NAGAR,501347,NEW DELHI
658,PAHARGANJ,501349,NEW DELHI
659,PALAM,501351,NEW DELHI
660,PALAM COLONY,501353,NEW DELHI
661,PALAM VIHAR,501355,NEW DELHI
662,PALAM VIHAR ROAD,501357,NEW DELHI
663,PALAM VILLAGE,501359,NEW DELHI
664,PALIKA BAZAR,501361,NEW DELHI
665,PANCHKUIAN ROAD,501363,NEW DELHI
666,PANCHSHEEL ENCLAVE,501365,NEW DELHI
667,PANCHSHEEL PARK,501367,NEW DELHI
668,PANDAV NAGAR,501369,NEW DELHI
669,PANKHA ROAD,501371,NEW DELHI
670,PARLIAMENT STREET,501373,NEW DELHI
671,PARWANA ROAD,501375,NEW DELHI
672,PASCHIM PURI,501377,NEW DELHI
673,EAST PATEL NAGAR,501379,NEW DELHI
674,PATIALA HOUSE,501381,NEW DELHI
675,PATIALA HOUSE COURT,501383,NEW DELHI
676,PATPARGANJ,501385,NEW DELHI
677,PATPARGANJ INDUSTRIAL AREA,501387,NEW DELHI
678,PEERA GARHI,501389,NEW DELHI
679,PIRA GARHI,501391,NEW DELHI
680,PRAGATI MAIDAN,501393,NEW DELHI
681,PRASHANT VIHAR,501395,NEW DELHI
682,PRATAP NAGAR,501397,NEW DELHI
683,PREET VIHAR,501399,NEW DELHI
684,PREM NAGAR,501401,NEW DELHI
685,PRIYADARSHINI VIHAR,501403,NEW DELHI
686,PULPEHLADPUR,501405,NEW DELHI
687,PUNJABI BAGH EAST,501407,NEW DELHI
688,PUNJABI BAGH EXTENSION,501409,NEW DELHI
689,PUNJABI BAGH WEST,501411,NEW DELHI
690,PUSA ROAD,501413,NEW DELHI
691,PUSHP VIHAR,501415,NEW DELHI
692,QUTAB INSTITUTIONAL AREA,501417,NEW DELHI
693,R K PURAM,501419,NEW DELHI
694,R K PURAM SECTOR 1,501421,NEW DELHI
695,R K PURAM SECTOR 12,501423,NEW DELHI
696,R K PURAM SECTOR 6,501425,NEW DELHI
697,R K PURAM SECTOR 8,501427,NEW DELHI
698,R K PURAM SECTOR 9,501429,NEW DELHI
699,RADHEYPURI EXTENSION,501431,NEW DELHI
700,RAGHUBIR NAGAR,501433,NEW DELHI
701,RAILWAY ROAD,501435,NEW DELHI
702,RAILWAY STATION COLONY,501437,NEW DELHI
703,RAJ NAGAR,501439,NEW DELHI
704,RAJA GARDEN,501441,NEW DELHI
705,RAJAURI GARDEN,501443,NEW DELHI
706,RAJEEV NAGAR,501445,NEW DELHI
707,RAJENDER NAGAR,501447,NEW DELHI
708,RAJENDRA NAGAR,501449,NEW DELHI
709,RAJENDRA PLACE,501451,NEW DELHI
710,RAJGARH COLONY,501453,NEW DELHI
711,RAJIV NAGAR,501455,NEW DELHI
712,RAJOURI GARDEN,501457,NEW DELHI
713,RAM NAGAR,501459,NEW DELHI
714,RAMAKRISHNA PURAM,501461,NEW DELHI
715,RAMESH NAGAR,501463,NEW DELHI
716,RAMKRISHNAPURAM,501465,NEW DELHI
717,RAMPURA,501467,NEW DELHI
718,RAMTERAM ROAD,501469,NEW DELHI
719,RANA PRATAP BAGH,501471,NEW DELHI
720,RANGPURI,501473,NEW DELHI
721,RANI BAGH,501475,NEW DELHI
722,RANI JHANSI ROAD,501477,NEW DELHI
723,RANJIT NAGAR,501479,NEW DELHI
724,RED FORT,501481,NEW DELHI
725,ROHINI-SECTOR 13,501483,NEW DELHI
726,ROHINI-SECTOR 14,501485,NEW DELHI
727,ROHINI-SECTOR 2,501487,NEW DELHI
728,ROHINI-SECTOR 3,501489,NEW DELHI
729,ROHINI-SECTOR 9,501491,NEW DELHI
730,ROHINI SEC-16,501493,NEW DELHI
731,ROHINI SECTOR 1,501495,NEW DELHI
732,ROHINI SECTOR 10,501497,NEW DELHI
733,ROHINI SECTOR 11,501499,NEW DELHI
734,ROHINI SECTOR 15,501501,NEW DELHI
735,ROHINI SECTOR 16,501503,NEW DELHI
736,ROHINI SECTOR 17,501505,NEW DELHI
737,ROHINI SECTOR 18,501507,NEW DELHI
738,ROHINI SECTOR 2,501509,NEW DELHI
739,ROHINI SECTOR 24,501511,NEW DELHI
740,ROHINI SECTOR 3,501513,NEW DELHI
741,ROHINI SECTOR 4,501515,NEW DELHI
742,ROHINI SECTOR 5,501517,NEW DELHI
743,ROHINI SECTOR 6,501519,NEW DELHI
744,ROHINI SECTOR 7,501521,NEW DELHI
745,ROHINI SECTOR 8,501523,NEW DELHI
746,ROHINI SECTOR 9,501525,NEW DELHI
747,ROHTAK ROAD,501527,NEW DELHI
748,ROHTASH NAGAR EAST,501529,NEW DELHI
749,ROHTASH NAGAR WEST,501531,NEW DELHI
750,ROOP NAGAR,501533,NEW DELHI
751,ROSHAN PURA,501535,NEW DELHI
752,ROSHANARA ROAD,501537,NEW DELHI
753,SADAR BAZAAR,501539,NEW DELHI
754,SADAR THANA ROAD,501541,NEW DELHI
755,SADATPUR,501543,NEW DELHI
756,SAFDARJANJ ENCLAVE,501545,NEW DELHI
757,SAFDARJUNG DEVELOPMENT AREA,501547,NEW DELHI
758,SAFDARJUNG ENCLAVE,501549,NEW DELHI
759,SAGAR PUR,501551,NEW DELHI
760,SAGARPUR WEST,501553,NEW DELHI
761,SAHIBABAD,501555,NEW DELHI
762,SAHIBABAD INDUSTRIAL AREA,501557,NEW DELHI
763,SAHIBABAD INDUSTRIAL AREA SITE 4,501559,NEW DELHI
764,SAINI ENCLAVE,501561,NEW DELHI
765,SAINIK FARM,501563,NEW DELHI
766,SAIYAD UL AJAIB,501565,NEW DELHI
767,SAKET,501567,NEW DELHI
768,SAMAIPUR,501569,NEW DELHI
769,SAMAYPUR,501571,NEW DELHI
770,SAMAYPUR BADLI,501573,NEW DELHI
771,SANGAM VIHAR,501575,NEW DELHI
772,SANJAY COLONY/GHAZIABAD,501577,NEW DELHI
773,SANJAY GANDHI MEMORIAL NAGAR,501579,NEW DELHI
774,SANJAY GANDHI TRANSPORT NAGAR,501581,NEW DELHI
775,SANSAD MARG,501583,NEW DELHI
776,SANT NAGAR,501585,NEW DELHI
777,SARAI JULENA,501587,NEW DELHI
778,SARAI KHWAJA,501589,NEW DELHI
779,SARAI ROHILA,501591,NEW DELHI
780,SARAI ROHILLA,501593,NEW DELHI
781,SARASWATI VIHAR,501595,NEW DELHI
782,SARDAR BAZAR,501597,NEW DELHI
783,SARITA VIHAR,501599,NEW DELHI
784,SAROJANI NAGAR,501601,NEW DELHI
785,SAROJANI NAGAR MARKET,501603,NEW DELHI
786,SAROJINI NAGAR,501605,NEW DELHI
787,SARVAPRIYA VIHAR,501607,NEW DELHI
788,SARVODAYA ENCLAVE,501609,NEW DELHI
789,SATYA NIKETAN,501611,NEW DELHI
790,SAVITA VIHAR,501613,NEW DELHI
791,SAVITRI NAGAR,501615,NEW DELHI
792,SECTOR 1-NOIDA,501617,NEW DELHI
793,SECTOR 10-NOIDA,501619,NEW DELHI
794,SECTOR 10 NOIDA,501621,NEW DELHI
795,SECTOR 11-NOIDA,501623,NEW DELHI
796,SECTOR 11-NOIDA,501625,NEW DELHI
797,SECTOR 12-GURGAON,501627,NEW DELHI
798,SECTOR 12-NOIDA,501629,NEW DELHI
799,SECTOR 12 NOIDA,501631,NEW DELHI
800,SECTOR 14-GURGAON,501633,NEW DELHI
801,SECTOR 14 GURGAON,501635,NEW DELHI
802,SECTOR 15-NOIDA,501637,NEW DELHI
803,SECTOR 15 A-NOIDA,501639,NEW DELHI
804,SECTOR 15 NOIDA,501641,NEW DELHI
805,SECTOR 15-I-GURGAON,501643,NEW DELHI
806,SECTOR 15-II-GURGAON,501645,NEW DELHI
807,SECTOR 16-NOIDA,501647,NEW DELHI
808,SECTOR 16 A-NOIDA,501649,NEW DELHI
809,SECTOR 16 NOIDA,501651,NEW DELHI
810,SECTOR 17-GURGAON,501653,NEW DELHI
811,SECTOR 18-NOIDA,501655,NEW DELHI
812,SECTOR 18-GURGAON,501657,NEW DELHI
813,SECTOR 18 GURGAON,501659,NEW DELHI
814,SECTOR 18 NOIDA,501661,NEW DELHI
815,SECTOR 19-NOIDA,501663,NEW DELHI
816,SECTOR 19 NOIDA,501665,NEW DELHI
817,SECTOR 2-NOIDA,501667,NEW DELHI
818,SECTOR 2 NOIDA,501669,NEW DELHI
819,SECTOR 20-NOIDA,501671,NEW DELHI
820,SECTOR 21-NOIDA,501673,NEW DELHI
821,SECTOR 22-GURGAON,501675,NEW DELHI
822,SECTOR 22-NOIDA,501677,NEW DELHI
823,SECTOR 22 NOIDA,501679,NEW DELHI
824,SECTOR 23-GURGAON,501681,NEW DELHI
825,SECTOR 24-NOIDA,501683,NEW DELHI
826,SECTOR 25-NOIDA,501685,NEW DELHI
827,SECTOR 25 A-NOIDA,501687,NEW DELHI
828,SECTOR 26-NOIDA,501689,NEW DELHI
829,SECTOR 26 NOIDA,501691,NEW DELHI
830,SECTOR 27-NOIDA,501693,NEW DELHI
831,SECTOR 27 NOIDA,501695,NEW DELHI
832,SECTOR 28-NOIDA,501697,NEW DELHI
833,SECTOR 29-GURGAON,501699,NEW DELHI
834,SECTOR 29 NOIDA,501701,NEW DELHI
835,SECTOR 3-GURGAON,501703,NEW DELHI
836,SECTOR 3-NOIDA,501705,NEW DELHI
837,SECTOR 3 NOIDA,501707,NEW DELHI
838,SECTOR 30-NOIDA,501709,NEW DELHI
839,SECTOR 31-GURGAON,501711,NEW DELHI
840,SECTOR 31-NOIDA,501713,NEW DELHI
841,SECTOR 31 GURGAON,501715,NEW DELHI
842,SECTOR 31 NOIDA,501717,NEW DELHI
843,SECTOR 32-GURGAON,501719,NEW DELHI
844,SECTOR 33-NOIDA,501721,NEW DELHI
845,SECTOR 34-GURGAON,501723,NEW DELHI
846,SECTOR 34-NOIDA,501725,NEW DELHI
847,SECTOR 35-NOIDA,501727,NEW DELHI
848,SECTOR 37-GURGAON,501729,NEW DELHI
849,SECTOR 37-NOIDA,501731,NEW DELHI
850,SECTOR 37 GURGAON,501733,NEW DELHI
851,SECTOR 39-NOIDA,501735,NEW DELHI
852,SECTOR 4-GURGAON,501737,NEW DELHI
853,SECTOR 4-NOIDA,501739,NEW DELHI
854,SECTOR 4 GURGAON,501741,NEW DELHI
855,SECTOR 4 NOIDA,501743,NEW DELHI
856,SECTOR 40-GURGAON,501745,NEW DELHI
857,SECTOR 40-NOIDA,501747,NEW DELHI
858,SECTOR 41-NOIDA,501749,NEW DELHI
859,SECTOR 41 NOIDA,501751,NEW DELHI
860,SECTOR 44-NOIDA,501753,NEW DELHI
861,SECTOR 47-GURGAON,501755,NEW DELHI
862,SECTOR 49-NOIDA,501757,NEW DELHI
863,SECTOR 49 NOIDA,501759,NEW DELHI
864,SECTOR 5-GURGAON,501761,NEW DELHI
865,SECTOR 5-NOIDA,501763,NEW DELHI
866,SECTOR 5 GURGAON,501765,NEW DELHI
867,SECTOR 5 NOIDA,501767,NEW DELHI
868,SECTOR 50-NOIDA,501769,NEW DELHI
869,SECTOR 50 NOIDA,501771,NEW DELHI
870,SECTOR 51-NOIDA,501773,NEW DELHI
871,SECTOR 51 NOIDA,501775,NEW DELHI
872,SECTOR 52-NOIDA,501777,NEW DELHI
873,SECTOR 53-GURGAON,501779,NEW DELHI
874,SECTOR 53-NOIDA,501781,NEW DELHI
875,SECTOR 54-GURGAON,501783,NEW DELHI
876,SECTOR 55-GURGAON,501785,NEW DELHI
877,SECTOR 55-NOIDA,501787,NEW DELHI
878,SECTOR 56-GURGAON,501789,NEW DELHI
879,SECTOR 56-NOIDA,501791,NEW DELHI
880,SECTOR 57-NOIDA,501793,NEW DELHI
881,SECTOR 57 NOIDA,501795,NEW DELHI
882,SECTOR 58-NOIDA,501797,NEW DELHI
883,SECTOR 58 NOIDA,501799,NEW DELHI
884,SECTOR 59-NOIDA,501801,NEW DELHI
885,SECTOR 6-GURGAON,501803,NEW DELHI
886,SECTOR 6-NOIDA,501805,NEW DELHI
887,SECTOR 6 NOIDA,501807,NEW DELHI
888,SECTOR 60-NOIDA,501809,NEW DELHI
889,SECTOR 61-NOIDA,501811,NEW DELHI
890,SECTOR 61 NOIDA,501813,NEW DELHI
891,SECTOR 62-NOIDA,501815,NEW DELHI
892,SECTOR 62 NOIDA,501817,NEW DELHI
893,SECTOR 63 NOIDA,501819,NEW DELHI
894,SECTOR 7-GURGAON,501821,NEW DELHI
895,SECTOR 7-NOIDA,501823,NEW DELHI
896,SECTOR 8-NOIDA,501825,NEW DELHI
897,SECTOR 8 NOIDA,501827,NEW DELHI
898,SECTOR 9-NOIDA,501829,NEW DELHI
899,SECTOR 9 NOIDA,501831,NEW DELHI
900,SECTOR10-FARIDABAD,501833,NEW DELHI
901,SECTOR11-FARIDABAD,501835,NEW DELHI
902,SECTOR12-FARIDABAD,501837,NEW DELHI
903,SECTOR14-FARIDABAD,501839,NEW DELHI
904,SECTOR15-FARIDABAD,501841,NEW DELHI
905,SECTOR15 FARIDABAD,501843,NEW DELHI
906,SECTOR15A-FARIDABAD,501845,NEW DELHI
907,SECTOR15A FARIDABAD,501847,NEW DELHI
908,SECTOR16-FARIDABAD,501849,NEW DELHI
909,SECTOR16 FARIDABAD,501851,NEW DELHI
910,SECTOR16A-FARIDABAD,501853,NEW DELHI
911,SECTOR17-FARIDABAD,501855,NEW DELHI
912,SECTOR19-FARIDABAD,501857,NEW DELHI
913,SECTOR21C-FARIDABAD,501859,NEW DELHI
914,SECTOR23-FARIDABAD,501861,NEW DELHI
915,SECTOR24-FARIDABAD,501863,NEW DELHI
916,SECTOR24 FARIDABAD,501865,NEW DELHI
917,SECTOR25-FARIDABAD,501867,NEW DELHI
918,SECTOR27A-FARIDABAD,501869,NEW DELHI
919,SECTOR28-FARIDABAD,501871,NEW DELHI
920,SECTOR29-FARIDABAD,501873,NEW DELHI
921,SECTOR31-FARIDABAD,501875,NEW DELHI
922,SECTOR37-FARIDABAD,501877,NEW DELHI
923,SECTOR4-GHAZIABAD,501879,NEW DELHI
924,SECTOR5-GHAZIABAD,501881,NEW DELHI
925,SECTOR59-FARIDABAD,501883,NEW DELHI
926,SECTOR6-FARIDABAD,501885,NEW DELHI
927,SECTOR9-FARIDABAD,501887,NEW DELHI
928,SEELAMPUR,501889,NEW DELHI
929,SEEMAPURI OLD,501891,NEW DELHI
930,SEIKH SARAI,501893,NEW DELHI
931,SEIKH SARAI PHASE 2,501895,NEW DELHI
932,SEWA NAGAR,501897,NEW DELHI
933,SHADIPUR,501899,NEW DELHI
934,SHAHDARA,501901,NEW DELHI
935,SHAHPUR JAT,501903,NEW DELHI
936,SHAKARPUR,501905,NEW DELHI
937,SHAKARPUR EXTENSION,501907,NEW DELHI
938,SHAKARPUR KHAS,501909,NEW DELHI
939,SHAKTI NAGAR,501911,NEW DELHI
940,SHAKUR BASTI,501913,NEW DELHI
941,SHAKUR PUR,501915,NEW DELHI
942,SHAKURPUR,501917,NEW DELHI
943,SHAKURPUR COLONY,501919,NEW DELHI
944,SHALIMAR BAGH,501921,NEW DELHI
945,SHALIMAR GARDEN,501923,NEW DELHI
946,SHALIMAR GARDEN EXTENTION 1,501925,NEW DELHI
947,SHALIMAR GARDEN EXTENTION 2,501927,NEW DELHI
948,SHALIMAR PARK,501929,NEW DELHI
949,SHANKAR NAGAR,501931,NEW DELHI
950,SHANTI NIKETAN,501933,NEW DELHI
951,SHARDA PURI,501935,NEW DELHI
952,SHARDHANAND MARG,501937,NEW DELHI
953,SHASTRI NAGAR,501939,NEW DELHI
954,SHASTRI PARK,501941,NEW DELHI
955,SHEIK SARAI,501943,NEW DELHI
956,SHEIKH SARAI,501945,NEW DELHI
957,SHEIKH SARAI PART 1,501947,NEW DELHI
958,SHIV NAGAR,501949,NEW DELHI
959,SHIV PURI,501951,NEW DELHI
960,SHIVALIK,501953,NEW DELHI
961,SHIVPURI,501955,NEW DELHI
962,SHRESHTHA VIHAR,501957,NEW DELHI
963,SIKANDARPUR,501959,NEW DELHI
964,SILAMPUR,501961,NEW DELHI
965,SIRI FORT ROAD,501963,NEW DELHI
966,SIRKIWALAN,501965,NEW DELHI
967,SITARAM BAZAR,501967,NEW DELHI
968,SOHNA ROAD,501969,NEW DELHI
969,SONIPAT,501971,NEW DELHI
970,SOUTH CITY 1,501973,NEW DELHI
971,SOUTH EXTENSION 1,501975,NEW DELHI
972,SOUTH EXTENSION 2,501977,NEW DELHI
973,SOUTH EXTENSION PART 1,501979,NEW DELHI
974,SOUTH EXTENSION PART 2,501981,NEW DELHI
975,SOUTH PATEL NAGAR,501983,NEW DELHI
976,SRINIVASPURI,501985,NEW DELHI
977,SUBHASH NAGAR,501987,NEW DELHI
978,SUKHDEV VIHAR,501989,NEW DELHI
979,SUKHRALI,501991,NEW DELHI
980,SULTAN PURI,501993,NEW DELHI
981,SULTANPUR,501995,NEW DELHI
982,SULTANPURI,501997,NEW DELHI
983,SUNDAR NAGAR,501999,NEW DELHI
984,SUNDER NAGARI,502001,NEW DELHI
985,SUNDER VIHAR,502003,NEW DELHI
986,SUPREME COURT,502005,NEW DELHI
987,SURAJMAL VIHAR,502007,NEW DELHI
988,SURYA NAGAR,502009,NEW DELHI
989,SUSHANT LOK,502011,NEW DELHI
990,SUSHANT LOK PHASE 1,502013,NEW DELHI
991,SUSHANT LOK PHASE II,502015,NEW DELHI
992,SWASTHYA VIHAR,502017,NEW DELHI
993,TAGORE GARDEN,502019,NEW DELHI
994,TAIMOOR NAGAR,502021,NEW DELHI
995,TANK ROAD,502023,NEW DELHI
996,TIGRI,502025,NEW DELHI
997,TILAK MARG,502027,NEW DELHI
998,TIMARPUR,502029,NEW DELHI
999,TIS HAZARI,502031,NEW DELHI
1000,TIS HAZARI COURT,502033,NEW DELHI
1001,TOLSTOY MARG,502035,NEW DELHI
1002,TRI NAGAR,502037,NEW DELHI
1003,TRILOKPURI,502039,NEW DELHI
1004,TUGHLAKABAD EXTENSION,502041,NEW DELHI
1005,TUGHLAQABAD,502043,NEW DELHI
1006,TUGHLAQABAD EXTENSION,502045,NEW DELHI
1007,TURAB NAGAR,502047,NEW DELHI
1008,TURKMAN GATE,502049,NEW DELHI
1009,UDAY PARK,502051,NEW DELHI
1010,UDYOG NAGAR,502053,NEW DELHI
1011,UDYOG VIHAR,502055,NEW DELHI
1012,UDYOG VIHAR-INDUSTRIAL AREA PHASE 2,502057,NEW DELHI
1013,UDYOG VIHAR-INDUSTRIAL AREA PHASE 3,502059,NEW DELHI
1014,UDYOG VIHAR-INDUSTRIAL AREA PHASE 4,502061,NEW DELHI
1015,UDYOG VIHAR INDUSTRIAL AREA PHASE 2,502063,NEW DELHI
1016,UDYOG VIHAR INDUSTRIAL AREA PHASE 3,502065,NEW DELHI
1017,UDYOG VIHAR INDUSTRIAL AREA PHASE 4,502067,NEW DELHI
1018,UDYOG VIHAR INDUSTRIAL AREA VI,502069,NEW DELHI
1019,UDYOG VIHAR PHASE 4,502071,NEW DELHI
1020,UDYOG VIHAR PHASE 5,502073,NEW DELHI
1021,VAISHALI,502075,NEW DELHI
1022,VAISHALI SECTOR 1,502077,NEW DELHI
1023,VAISHALI SECTOR 2,502079,NEW DELHI
1024,VAISHALI SECTOR 3,502081,NEW DELHI
1025,VAISHALI SECTOR 4,502083,NEW DELHI
1026,VAISHALI SECTOR 5,502085,NEW DELHI
1027,VASANT ENCLAVE,502087,NEW DELHI
1028,VASANT KUNJ,502089,NEW DELHI
1029,VASANT KUNJ-SECTOR A,502091,NEW DELHI
1030,VASANT KUNJ-SECTOR B,502093,NEW DELHI
1031,VASANT KUNJ-SECTOR C,502095,NEW DELHI
1032,VASANT KUNJ-SECTOR D,502097,NEW DELHI
1033,VASANT KUNJ SECTOR A,502099,NEW DELHI
1034,VASHISHT PARK,502101,NEW DELHI
1035,VASUNDHARA,502103,NEW DELHI
1036,VIGYAN VIHAR,502105,NEW DELHI
1037,VIJAY ENCLAVE,502107,NEW DELHI
1038,VIJAY NAGAR,502109,NEW DELHI
1039,VIKAS MARG,502111,NEW DELHI
1040,VIKASPURI,502113,NEW DELHI
1041,VINOD NAGAR,502115,NEW DELHI
1042,VINOD NAGAR EAST,502117,NEW DELHI
1043,VINOD NAGAR WEST,502119,NEW DELHI
1044,VISHNU GARDEN,502121,NEW DELHI
1045,VISHWAS NAGAR,502123,NEW DELHI
1046,VIVEK VIHAR,502125,NEW DELHI
1047,WAZIR NAGAR,502127,NEW DELHI
1048,WAZIRABAD,502129,NEW DELHI
1049,WAZIRPUR,502131,NEW DELHI
1050,WAZIRPUR COLONY,502133,NEW DELHI
1051,WAZIRPUR INDUSTRIAL AREA,502135,NEW DELHI
1052,WEST PATEL NAGAR,502137,NEW DELHI
1053,YAMUNA VIHAR,502139,NEW DELHI
1054,YOJANA VIHAR,502141,NEW DELHI
1055,YUSUF SARAI,502143,NEW DELHI
1056,ZAKIR NAGAR,502145,NEW DELHI
1057,ZAMRUDPUR,502147,NEW DELHI
1058,A K MARKET,502149,NEW DELHI
1059,ALIGANJ,502151,NEW DELHI
1060,ALIPUR,502153,NEW DELHI
1061,AMAR COLONY,502155,NEW DELHI
1062,AMBERHAI,502157,NEW DELHI
1063,ANANDWAS,502159,NEW DELHI
1064,ANSARI NAGAR,502161,NEW DELHI
1065,APS COLONY,502163,NEW DELHI
1066,A F PALAM,502165,NEW DELHI
1067,ARJUN GARH,502167,NEW DELHI
1068,ASHOKA PARK EXTENSION,502169,NEW DELHI
1069,AUCHANDI,502171,NEW DELHI
1070,AAYA NAGAR,502173,NEW DELHI
1071,BADOSARAI,502175,NEW DELHI
1072,BAGROLA,502177,NEW DELHI
1073,BAKHTAWARPUR,502179,NEW DELHI
1074,BAKKARWALA,502181,NEW DELHI
1075,BAKOLI,502183,NEW DELHI
1076,BALBIR NAGAR,502185,NEW DELHI
1077,BANK STREET,502187,NEW DELHI
1078,BAPROLA,502189,NEW DELHI
1079,BARODA HOUSE,502191,NEW DELHI
1080,BHARTHAL,502193,NEW DELHI
1081,BARWALA,502195,NEW DELHI
1082,BENGALI MARKET,502197,NEW DELHI
1083,BHAGAT SINGH MARKET,502199,NEW DELHI
1084,BHORGARH,502201,NEW DELHI
1085,BIRLA LINES,502203,NEW DELHI
1086,BSF CAMP TIGRI,502205,NEW DELHI
1087,BTPS BADARPUR THERMAL POWER STATION,502207,NEW DELHI
1088,CGO COMPLEX,502209,NEW DELHI
1089,CHANDAN HOLA,502211,NEW DELHI
1090,CHAND NAGAR,502213,NEW DELHI
1091,CHANDPUR,502215,NEW DELHI
1092,CHHATARPUR,502217,NEW DELHI
1093,CHAUKHANDI,502219,NEW DELHI
1094,CHHAWLA,502221,NEW DELHI
1095,CHILLA,502223,NEW DELHI
1096,CONSTITUTION HOUSE,502225,NEW DELHI
1097,CRPF JHARODA KALAN,502227,NEW DELHI
1098,DADA GHOSH BHAWAN,502229,NEW DELHI
1099,DAREEBA,502231,NEW DELHI
1100,DARGAH SHARIF,502233,NEW DELHI
1101,DARYAPUR KALAN,502235,NEW DELHI
1102,DAULATPUR,502237,NEW DELHI
